"Kappa_Tau:0","Kappa_Tau:1","Rho 1","Rho 2","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.021678,3.6442e-05,1,0,87.376,0,0,-1,1,0.06144,0.125,0.075,0.19456
0.021678,3.6442e-05,1,0,87.472,0,0,-1,1,0.061696,0.125,0.075,0.1943
0.021678,3.6442e-05,1,0,87.568,0,0,-1,1,0.061952,0.125,0.075,0.19405
0.021678,3.6442e-05,1,0,87.664,0,0,-1,1,0.062208,0.125,0.075,0.19379
0.021678,3.6442e-05,1,0,87.76,0,0,-1,1,0.062464,0.125,0.075,0.19354
0.021678,3.6442e-05,1,0,87.856,0,0,-1,1,0.06272,0.125,0.075,0.19328
0.021678,3.6442e-05,1,0,87.952,0,0,-1,1,0.062976,0.125,0.075,0.19302
0.021678,3.6442e-05,1,0,88.048,0,0,-1,1,0.063232,0.125,0.075,0.19277
0.021678,3.6442e-05,1,0,88.144,0,0,-1,1,0.063488,0.125,0.075,0.19251
0.021678,3.6442e-05,1,0,88.24,0,0,-1,1,0.063744,0.125,0.075,0.19226
0.021678,3.6442e-05,1,0,88.336,0,0,-1,1,0.064,0.125,0.075,0.192
0.021678,3.6442e-05,1,0,88.432,0,0,-1,1,0.064256,0.125,0.075,0.19174
0.021678,3.6442e-05,1,0,88.528,0,0,-1,1,0.064512,0.125,0.075,0.19149
0.021678,3.6442e-05,1,0,88.624,0,0,-1,1,0.064768,0.125,0.075,0.19123
0.021678,3.6442e-05,1,0,88.72,0,0,-1,1,0.065024,0.125,0.075,0.19098
0.021678,3.6442e-05,1,0,88.816,0,0,-1,1,0.06528,0.125,0.075,0.19072
0.021678,3.6442e-05,1,0,88.912,0,0,-1,1,0.065536,0.125,0.075,0.19046
0.021678,3.6442e-05,1,0,89.008,0,0,-1,1,0.065792,0.125,0.075,0.19021
0.021678,3.6442e-05,1,0,89.104,0,0,-1,1,0.066048,0.125,0.075,0.18995
0.021678,3.6442e-05,1,0,89.2,0,0,-1,1,0.066304,0.125,0.075,0.1897
0.021678,3.6442e-05,1,0,89.296,0,0,-1,1,0.06656,0.125,0.075,0.18944
0.021678,3.6442e-05,1,0,89.392,0,0,-1,1,0.066816,0.125,0.075,0.18918
0.021678,3.6442e-05,1,0,89.488,0,0,-1,1,0.067072,0.125,0.075,0.18893
0.021678,3.6442e-05,1,0,89.584,0,0,-1,1,0.067328,0.125,0.075,0.18867
0.021678,3.6442e-05,1,0,89.68,0,0,-1,1,0.067584,0.125,0.075,0.18842
0.021678,3.6442e-05,1,0,89.776,0,0,-1,1,0.06784,0.125,0.075,0.18816
0.021678,3.6442e-05,1,0,89.872,0,0,-1,1,0.068096,0.125,0.075,0.1879
0.021678,3.6442e-05,1,0,89.968,0,0,-1,1,0.068352,0.125,0.075,0.18765
0.021678,3.6442e-05,1,0,90.064,0,0,-1,1,0.068608,0.125,0.075,0.18739
